ctrlid,label,content
1011,10.6,"'Title: 10.6; Descr: Centrally manage anti-malware software.; Context: Malware Defenses - Prevent or control the installation, spread, and execution of malicious applications, code, or scripts on enterprise assets.Tags: Devices, Malware Defenses'"
1012,10.7,"'Title: 10.7; Descr: Use behavior-based anti-malware software.; Context: Malware Defenses - Prevent or control the installation, spread, and execution of malicious applications, code, or scripts on enterprise assets.Tags: Devices, Malware Defenses'"
1013,11.1,"'Title: 11.1; Descr: Establish and maintain a data recovery process. In the process, address the scope of data recovery activities, recovery prioritization, and the security of backup data. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard.; Context: Data Recovery - Establish and maintain data recovery practices sufficient to restore in-scope enterprise assets to a pre-incident and trusted state.Tags: Data, Data Recovery'"
1014,11.2,"'Title: 11.2; Descr: Perform automated backups of in-scope enterprise assets. Run backups weekly, or more frequently, based on the sensitivity of the data.; Context: Data Recovery - Establish and maintain data recovery practices sufficient to restore in-scope enterprise assets to a pre-incident and trusted state.Tags: Data, Data Recovery'"
1015,11.3,"'Title: 11.3; Descr: Protect recovery data with equivalent controls to the original data. Reference encryption or data separation, based on requirements.; Context: Data Recovery - Establish and maintain data recovery practices sufficient to restore in-scope enterprise assets to a pre-incident and trusted state.Tags: Data, Data Recovery'"
1016,11.4,"'Title: 11.4; Descr: Establish and maintain an isolated instance of recovery data. Example implementations include, version controlling backup destinations through offline, cloud, or off-site systems or services.; Context: Data Recovery - Establish and maintain data recovery practices sufficient to restore in-scope enterprise assets to a pre-incident and trusted state.Tags: Data, Data Recovery'"
1017,11.5,"'Title: 11.5; Descr: Test backup recovery quarterly, or more frequently, for a sampling of in-scope enterprise assets.; Context: Data Recovery - Establish and maintain data recovery practices sufficient to restore in-scope enterprise assets to a pre-incident and trusted state.Tags: Data, Data Recovery'"
1018,12.1,"'Title: 12.1; Descr: Ensure network infrastructure is kept up-to-date. Example implementations include running the latest stable release of software and/or using currently supported network-as-a-service (NaaS) offerings. Review software versions monthly, or more frequently, to verify software support.; Context: Network Infrastructure Management - Establish, implement, and actively manage (track, report, correct) network devices, in order to prevent attackers from exploiting vulnerable network services and access points.Tags: Network, Network Infrastructure Management'"
1019,12.2,"'Title: 12.2; Descr: Establish and maintain a secure network architecture. A secure network architecture must address segmentation, least privilege, and availability, at a minimum.; Context: Network Infrastructure Management - Establish, implement, and actively manage (track, report, correct) network devices, in order to prevent attackers from exploiting vulnerable network services and access points.Tags: Network, Network Infrastructure Management'"
1020,12.3,"'Title: 12.3; Descr: Securely manage network infrastructure. Example implementations include version-controlled-infrastructure-as-code, and the use of secure network protocols, such as SSH and HTTPS.; Context: Network Infrastructure Management - Establish, implement, and actively manage (track, report, correct) network devices, in order to prevent attackers from exploiting vulnerable network services and access points.Tags: Network, Network Infrastructure Management'"
1021,12.4,"'Title: 12.4; Descr: Establish and maintain architecture diagram(s) and/or other network system documentation. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard.; Context: Network Infrastructure Management - Establish, implement, and actively manage (track, report, correct) network devices, in order to prevent attackers from exploiting vulnerable network services and access points.Tags: Network, Network Infrastructure Management'"
1022,12.5,"'Title: 12.5; Descr: Centralize network AAA.; Context: Network Infrastructure Management - Establish, implement, and actively manage (track, report, correct) network devices, in order to prevent attackers from exploiting vulnerable network services and access points.Tags: Network, Network Infrastructure Management'"
1023,12.6,"'Title: 12.6; Descr: Use secure network management and communication protocols (e.g., 802.1X, Wi-Fi Protected Access 2 (WPA2) Enterprise or greater).; Context: Network Infrastructure Management - Establish, implement, and actively manage (track, report, correct) network devices, in order to prevent attackers from exploiting vulnerable network services and access points.Tags: Network, Network Infrastructure Management'"
1024,12.7,"'Title: 12.7; Descr: Require users to authenticate to enterprise-managed VPN and authentication services prior to accessing enterprise resources on end-user devices.; Context: Network Infrastructure Management - Establish, implement, and actively manage (track, report, correct) network devices, in order to prevent attackers from exploiting vulnerable network services and access points.Tags: Devices, Network Infrastructure Management'"
1025,12.8,"'Title: 12.8; Descr: Establish and maintain dedicated computing resources, either physically or logically separated, for all administrative tasks or tasks requiring administrative access. The computing resources should be segmented from the enterprise's primary network and not be allowed internet access.; Context: Network Infrastructure Management - Establish, implement, and actively manage (track, report, correct) network devices, in order to prevent attackers from exploiting vulnerable network services and access points.Tags: Devices, Network Infrastructure Management'"
1026,13.1,"'Title: 13.1; Descr: Centralize security event alerting across enterprise assets for log correlation and analysis. Best practice implementation requires the use of a SIEM, which includes vendor-defined event correlation alerts. A log analytics platform configured with security-relevant correlation alerts also satisfies this Safeguard.; Context: Network Monitoring and Defense - Operate processes and tooling to establish and maintain comprehensive network monitoring and defense against security threats across the enterprise’s network infrastructure and user base.Tags: Network, Network Monitoring and Defense'"
1027,13.10,"'Title: 13.10; Descr: Perform application layer filtering. Example implementations include a filtering proxy, application layer firewall, or gateway.; Context: Network Monitoring and Defense - Operate processes and tooling to establish and maintain comprehensive network monitoring and defense against security threats across the enterprise’s network infrastructure and user base.Tags: Network, Network Monitoring and Defense'"
1028,13.11,"'Title: 13.11; Descr: Tune security event alerting thresholds monthly, or more frequently.; Context: Network Monitoring and Defense - Operate processes and tooling to establish and maintain comprehensive network monitoring and defense against security threats across the enterprise’s network infrastructure and user base.Tags: Network, Network Monitoring and Defense'"
1029,13.2,"'Title: 13.2; Descr: Deploy a host-based intrusion detection solution on enterprise assets, where appropriate and/or supported.; Context: Network Monitoring and Defense - Operate processes and tooling to establish and maintain comprehensive network monitoring and defense against security threats across the enterprise’s network infrastructure and user base.Tags: Devices, Network Monitoring and Defense'"
1030,13.3,"'Title: 13.3; Descr: Deploy a network intrusion detection solution on enterprise assets, where appropriate. Example implementations include the use of a Network Intrusion Detection System (NIDS) or equivalent cloud service provider (CSP) service.; Context: Network Monitoring and Defense - Operate processes and tooling to establish and maintain comprehensive network monitoring and defense against security threats across the enterprise’s network infrastructure and user base.Tags: Network, Network Monitoring and Defense'"
1031,13.4,"'Title: 13.4; Descr: Perform traffic filtering between network segments, where appropriate.; Context: Network Monitoring and Defense - Operate processes and tooling to establish and maintain comprehensive network monitoring and defense against security threats across the enterprise’s network infrastructure and user base.Tags: Network, Network Monitoring and Defense'"
1032,13.5,"'Title: 13.5; Descr: Manage access control for assets remotely connecting to enterprise resources. Determine amount of access to enterprise resources based on: up-to-date anti-malware software installed, configuration compliance with the enterprise’s secure configuration process, and ensuring the operating system and applications are up-to-date.; Context: Network Monitoring and Defense - Operate processes and tooling to establish and maintain comprehensive network monitoring and defense against security threats across the enterprise’s network infrastructure and user base.Tags: Devices, Network Monitoring and Defense'"
1033,13.6,"'Title: 13.6; Descr: Collect network traffic flow logs and/or network traffic to review and alert upon from network devices.; Context: Network Monitoring and Defense - Operate processes and tooling to establish and maintain comprehensive network monitoring and defense against security threats across the enterprise’s network infrastructure and user base.Tags: Network, Network Monitoring and Defense'"
1034,13.7,"'Title: 13.7; Descr: Deploy a host-based intrusion prevention solution on enterprise assets, where appropriate and/or supported. Example implementations include use of an Endpoint Detection and Response (EDR) client or host-based IPS agent.; Context: Network Monitoring and Defense - Operate processes and tooling to establish and maintain comprehensive network monitoring and defense against security threats across the enterprise’s network infrastructure and user base.Tags: Devices, Network Monitoring and Defense'"
1035,13.8,"'Title: 13.8; Descr: Deploy a network intrusion prevention solution, where appropriate. Example implementations include the use of a Network Intrusion Prevention System (NIPS) or equivalent CSP service.; Context: Network Monitoring and Defense - Operate processes and tooling to establish and maintain comprehensive network monitoring and defense against security threats across the enterprise’s network infrastructure and user base.Tags: Network, Network Monitoring and Defense'"
1036,13.9,"'Title: 13.9; Descr: Deploy port-level access control. Port-level access control utilizes 802.1x, or similar network access control protocols, such as certificates, and may incorporate user and/or device authentication.; Context: Network Monitoring and Defense - Operate processes and tooling to establish and maintain comprehensive network monitoring and defense against security threats across the enterprise’s network infrastructure and user base.Tags: Devices, Network Monitoring and Defense'"
1037,14.1,"'Title: 14.1; Descr: Establish and maintain a security awareness program. The purpose of a security awareness program is to educate the enterprise’s workforce on how to interact with enterprise assets and data in a secure manner. Conduct training at hire and, at a minimum, annually. Review and update content annually, or when significant enterprise changes occur that could impact this Safeguard.; Context: Security Awareness and Skills Training - Establish and maintain a security awareness program to influence behavior among the workforce to be security conscious and properly skilled to reduce cybersecurity risks to the enterprise.Tags: Security Awareness and Skills Training'"
1038,14.2,"'Title: 14.2; Descr: Train workforce members to recognize social engineering attacks, such as phishing, pre-texting, and tailgating.; Context: Security Awareness and Skills Training - Establish and maintain a security awareness program to influence behavior among the workforce to be security conscious and properly skilled to reduce cybersecurity risks to the enterprise.Tags: Security Awareness and Skills Training'"
1039,14.3,"'Title: 14.3; Descr: Train workforce members on authentication best practices. Example topics include MFA, password composition, and credential management.; Context: Security Awareness and Skills Training - Establish and maintain a security awareness program to influence behavior among the workforce to be security conscious and properly skilled to reduce cybersecurity risks to the enterprise.Tags: Security Awareness and Skills Training'"
1040,14.4,"'Title: 14.4; Descr: Train workforce members on how to identify and properly store, transfer, archive, and destroy sensitive data. This also includes training workforce members on clear screen and desk best practices, such as locking their screen when they step away from their enterprise asset, erasing physical and virtual whiteboards at the end of meetings, and storing data and assets securely.; Context: Security Awareness and Skills Training - Establish and maintain a security awareness program to influence behavior among the workforce to be security conscious and properly skilled to reduce cybersecurity risks to the enterprise.Tags: Security Awareness and Skills Training'"
1041,14.5,"'Title: 14.5; Descr: Train workforce members to be aware of causes for unintentional data exposure. Example topics include mis-delivery of sensitive data, losing a portable end-user device, or publishing data to unintended audiences.; Context: Security Awareness and Skills Training - Establish and maintain a security awareness program to influence behavior among the workforce to be security conscious and properly skilled to reduce cybersecurity risks to the enterprise.Tags: Security Awareness and Skills Training'"
1042,14.6,'Title: 14.6; Descr: Train workforce members to be able to recognize a potential incident and be able to report such an incident.; Context: Security Awareness and Skills Training - Establish and maintain a security awareness program to influence behavior among the workforce to be security conscious and properly skilled to reduce cybersecurity risks to the enterprise.Tags: Security Awareness and Skills Training'
1043,14.7,'Title: 14.7; Descr: Train workforce to understand how to verify and report out-of-date software patches or any failures in automated processes and tools. Part of this training should include notifying IT personnel of any failures in automated processes and tools.; Context: Security Awareness and Skills Training - Establish and maintain a security awareness program to influence behavior among the workforce to be security conscious and properly skilled to reduce cybersecurity risks to the enterprise.Tags: Security Awareness and Skills Training'
1044,14.8,"'Title: 14.8; Descr: Train workforce members on the dangers of connecting to, and transmitting data over, insecure networks for enterprise activities. If the enterprise has remote workers, training must include guidance to ensure that all users securely configure their home network infrastructure.; Context: Security Awareness and Skills Training - Establish and maintain a security awareness program to influence behavior among the workforce to be security conscious and properly skilled to reduce cybersecurity risks to the enterprise.Tags: Security Awareness and Skills Training'"
1045,14.9,"'Title: 14.9; Descr: Conduct role-specific security awareness and skills training. Example implementations include secure system administration courses for IT professionals, OWASP® Top 10 vulnerability awareness and prevention training for web application developers, and advanced social engineering awareness training for high-profile roles.; Context: Security Awareness and Skills Training - Establish and maintain a security awareness program to influence behavior among the workforce to be security conscious and properly skilled to reduce cybersecurity risks to the enterprise.Tags: Security Awareness and Skills Training'"
1046,15.1,"'Title: 15.1; Descr: Establish and maintain an inventory of service providers. The inventory is to list all known service providers, include classification(s), and designate an enterprise contact for each service provider. Review and update the inventory annually, or when significant enterprise changes occur that could impact this Safeguard.; Context: Service Provider Management - Develop a process to evaluate service providers who hold sensitive data, or are responsible for an enterprise’s critical IT platforms or processes, to ensure these providers are protecting those platforms and data appropriately.Tags: Service Provider Management'"
1047,15.2,"'Title: 15.2; Descr: Establish and maintain a service provider management policy. Ensure the policy addresses the classification, inventory, assessment, monitoring, and decommissioning of service providers. Review and update the policy annually, or when significant enterprise changes occur that could impact this Safeguard.; Context: Service Provider Management - Develop a process to evaluate service providers who hold sensitive data, or are responsible for an enterprise’s critical IT platforms or processes, to ensure these providers are protecting those platforms and data appropriately.Tags: Service Provider Management'"
1048,15.3,"'Title: 15.3; Descr: Classify service providers. Classification consideration may include one or more characteristics, such as data sensitivity, data volume, availability requirements, applicable regulations, inherent risk, and mitigated risk. Update and review classifications annually, or when significant enterprise changes occur that could impact this Safeguard.; Context: Service Provider Management - Develop a process to evaluate service providers who hold sensitive data, or are responsible for an enterprise’s critical IT platforms or processes, to ensure these providers are protecting those platforms and data appropriately.Tags: Service Provider Management'"
1049,15.4,"'Title: 15.4; Descr: Ensure service provider contracts include security requirements. Example requirements may include minimum security program requirements, security incident and/or data breach notification and response, data encryption requirements, and data disposal commitments. These security requirements must be consistent with the enterprise’s service provider management policy. Review service provider contracts annually to ensure contracts are not missing security requirements.; Context: Service Provider Management - Develop a process to evaluate service providers who hold sensitive data, or are responsible for an enterprise’s critical IT platforms or processes, to ensure these providers are protecting those platforms and data appropriately.Tags: Service Provider Management'"
1050,15.5,"'Title: 15.5; Descr: Assess service providers consistent with the enterprise’s service provider management policy. Assessment scope may vary based on classification(s), and may include review of standardized assessment reports, such as Service Organization Control 2 (SOC 2) and Payment Card Industry (PCI) Attestation of Compliance (AoC), customized questionnaires, or other appropriately rigorous processes. Reassess service providers annually, at a minimum, or with new and renewed contracts.; Context: Service Provider Management - Develop a process to evaluate service providers who hold sensitive data, or are responsible for an enterprise’s critical IT platforms or processes, to ensure these providers are protecting those platforms and data appropriately.Tags: Service Provider Management'"
1051,15.6,"'Title: 15.6; Descr: Monitor service providers consistent with the enterprise’s service provider management policy. Monitoring may include periodic reassessment of service provider compliance, monitoring service provider release notes, and dark web monitoring.; Context: Service Provider Management - Develop a process to evaluate service providers who hold sensitive data, or are responsible for an enterprise’s critical IT platforms or processes, to ensure these providers are protecting those platforms and data appropriately.Tags: Data, Service Provider Management'"
1052,15.7,"'Title: 15.7; Descr: Securely decommission service providers. Example considerations include user and service account deactivation, termination of data flows, and secure disposal of enterprise data within service provider systems.; Context: Service Provider Management - Develop a process to evaluate service providers who hold sensitive data, or are responsible for an enterprise’s critical IT platforms or processes, to ensure these providers are protecting those platforms and data appropriately.Tags: Data, Service Provider Management'"
1053,16.1,"'Title: 16.1; Descr: Establish and maintain a secure application development process. In the process, address such items as: secure application design standards, secure coding practices, developer training, vulnerability management, security of third-party code, and application security testing procedures. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard.; Context: Application Software Security - Manage the security life cycle of in-house developed, hosted, or acquired software to prevent, detect, and remediate security weaknesses before they can impact the enterprise.Tags: Applications, Application Software Security'"
1054,16.10,"'Title: 16.10; Descr: Apply secure design principles in application architectures. Secure design principles include the concept of least privilege and enforcing mediation to validate every operation that the user makes, promoting the concept of ""never trust user input."" Examples include ensuring that explicit error checking is performed and documented for all input, including for size, data type, and acceptable ranges or formats. Secure design also means minimizing the application infrastructure attack surface, such as turning off unprotected ports and services, removing unnecessary programs and files, and renaming or removing default accounts.; Context: Application Software Security - Manage the security life cycle of in-house developed, hosted, or acquired software to prevent, detect, and remediate security weaknesses before they can impact the enterprise.Tags: Applications, Application Software Security'"
1055,16.11,"'Title: 16.11; Descr: Leverage vetted modules or services for application security components, such as identity management, encryption, and auditing and logging. Using platform features in critical security functions will reduce developers’ workload and minimize the likelihood of design or implementation errors. Modern operating systems provide effective mechanisms for identification, authentication, and authorization and make those mechanisms available to applications. Use only standardized, currently accepted, and extensively reviewed encryption algorithms. Operating systems also provide mechanisms to create and maintain secure audit logs.; Context: Application Software Security - Manage the security life cycle of in-house developed, hosted, or acquired software to prevent, detect, and remediate security weaknesses before they can impact the enterprise.Tags: Applications, Application Software Security'"
1056,16.12,"'Title: 16.12; Descr: Apply static and dynamic analysis tools within the application life cycle to verify that secure coding practices are being followed.; Context: Application Software Security - Manage the security life cycle of in-house developed, hosted, or acquired software to prevent, detect, and remediate security weaknesses before they can impact the enterprise.Tags: Applications, Application Software Security'"
1057,16.13,"'Title: 16.13; Descr: Conduct application penetration testing. For critical applications, authenticated penetration testing is better suited to finding business logic vulnerabilities than code scanning and automated security testing. Penetration testing relies on the skill of the tester to manually manipulate an application as an authenticated and unauthenticated user.; Context: Application Software Security - Manage the security life cycle of in-house developed, hosted, or acquired software to prevent, detect, and remediate security weaknesses before they can impact the enterprise.Tags: Applications, Application Software Security'"
1058,16.14,"'Title: 16.14; Descr: Conduct threat modeling. Threat modeling is the process of identifying and addressing application security design flaws within a design, before code is created. It is conducted through specially trained individuals who evaluate the application design and gauge security risks for each entry point and access level. The goal is to map out the application, architecture, and infrastructure in a structured way to understand its weaknesses.; Context: Application Software Security - Manage the security life cycle of in-house developed, hosted, or acquired software to prevent, detect, and remediate security weaknesses before they can impact the enterprise.Tags: Applications, Application Software Security'"
1059,16.2,"'Title: 16.2; Descr: Establish and maintain a process to accept and address reports of software vulnerabilities, including providing a means for external entities to report. The process is to include such items as: a vulnerability handling policy that identifies reporting process, responsible party for handling vulnerability reports, and a process for intake, assignment, remediation, and remediation testing. As part of the process, use a vulnerability tracking system that includes severity ratings, and metrics for measuring timing for identification, analysis, and remediation of vulnerabilities. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard.
 
 Third-party application developers need to consider this an externally-facing policy that helps to set expectations for outside stakeholders.; Context: Application Software Security - Manage the security life cycle of in-house developed, hosted, or acquired software to prevent, detect, and remediate security weaknesses before they can impact the enterprise.Tags: Applications, Application Software Security'"
1060,16.3,"'Title: 16.3; Descr: Perform root cause analysis on security vulnerabilities. When reviewing vulnerabilities, root cause analysis is the task of evaluating underlying issues that create vulnerabilities in code, and allows development teams to move beyond just fixing individual vulnerabilities as they arise.; Context: Application Software Security - Manage the security life cycle of in-house developed, hosted, or acquired software to prevent, detect, and remediate security weaknesses before they can impact the enterprise.Tags: Applications, Application Software Security'"
1061,16.4,"'Title: 16.4; Descr: Establish and manage an updated inventory of third-party components used in development, often referred to as a “bill of materials,” as well as components slated for future use. This inventory is to include any risks that each third-party component could pose. Evaluate the list at least monthly to identify any changes or updates to these components, and validate that the component is still supported.; Context: Application Software Security - Manage the security life cycle of in-house developed, hosted, or acquired software to prevent, detect, and remediate security weaknesses before they can impact the enterprise.Tags: Applications, Application Software Security'"
1062,16.5,"'Title: 16.5; Descr: Use up-to-date and trusted third-party software components. When possible, choose established and proven frameworks and libraries that provide adequate security. Acquire these components from trusted sources or evaluate the software for vulnerabilities before use.; Context: Application Software Security - Manage the security life cycle of in-house developed, hosted, or acquired software to prevent, detect, and remediate security weaknesses before they can impact the enterprise.Tags: Applications, Application Software Security'"
1063,16.6,"'Title: 16.6; Descr: Establish and maintain a severity rating system and process for application vulnerabilities that facilitates prioritizing the order in which discovered vulnerabilities are fixed. This process includes setting a minimum level of security acceptability for releasing code or applications. Severity ratings bring a systematic way of triaging vulnerabilities that improves risk management and helps ensure the most severe bugs are fixed first. Review and update the system and process annually.; Context: Application Software Security - Manage the security life cycle of in-house developed, hosted, or acquired software to prevent, detect, and remediate security weaknesses before they can impact the enterprise.Tags: Applications, Application Software Security'"
1064,16.7,"'Title: 16.7; Descr: Use standard, industry-recommended hardening configuration templates for application infrastructure components. This includes underlying servers, databases, and web servers, and applies to cloud containers, Platform as a Service (PaaS) components, and SaaS components. Do not allow in-house developed software to weaken configuration hardening.; Context: Application Software Security - Manage the security life cycle of in-house developed, hosted, or acquired software to prevent, detect, and remediate security weaknesses before they can impact the enterprise.Tags: Applications, Application Software Security'"
1065,16.8,"'Title: 16.8; Descr: Maintain separate environments for production and non-production systems.; Context: Application Software Security - Manage the security life cycle of in-house developed, hosted, or acquired software to prevent, detect, and remediate security weaknesses before they can impact the enterprise.Tags: Applications, Application Software Security'"
1066,16.9,"'Title: 16.9; Descr: Ensure that all software development personnel receive training in writing secure code for their specific development environment and responsibilities. Training can include general security principles and application security standard practices. Conduct training at least annually and design in a way to promote security within the development team, and build a culture of security among the developers.; Context: Application Software Security - Manage the security life cycle of in-house developed, hosted, or acquired software to prevent, detect, and remediate security weaknesses before they can impact the enterprise.Tags: Applications, Application Software Security'"
1067,17.1,"'Title: 17.1; Descr: Designate one key person, and at least one backup, who will manage the enterprise’s incident handling process. Management personnel are responsible for the coordination and documentation of incident response and recovery efforts and can consist of employees internal to the enterprise, third-party vendors, or a hybrid approach. If using a third-party vendor, designate at least one person internal to the enterprise to oversee any third-party work. Review annually, or when significant enterprise changes occur that could impact this Safeguard.; Context: Incident Response Management - Establish a program to develop and maintain an incident response capability (e.g., policies, plans, procedures, defined roles, training, and communications) to prepare, detect, and quickly respond to an attack.Tags: Incident Response Management'"
1068,17.2,"'Title: 17.2; Descr: Establish and maintain contact information for parties that need to be informed of security incidents. Contacts may include internal staff, third-party vendors, law enforcement, cyber insurance providers, relevant government agencies, Information Sharing and Analysis Center (ISAC) partners, or other stakeholders. Verify contacts annually to ensure that information is up-to-date.; Context: Incident Response Management - Establish a program to develop and maintain an incident response capability (e.g., policies, plans, procedures, defined roles, training, and communications) to prepare, detect, and quickly respond to an attack.Tags: Incident Response Management'"
1069,17.3,"'Title: 17.3; Descr: Establish and maintain an enterprise process for the workforce to report security incidents. The process includes reporting timeframe, personnel to report to, mechanism for reporting, and the minimum information to be reported. Ensure the process is publicly available to all of the workforce. Review annually, or when significant enterprise changes occur that could impact this Safeguard.; Context: Incident Response Management - Establish a program to develop and maintain an incident response capability (e.g., policies, plans, procedures, defined roles, training, and communications) to prepare, detect, and quickly respond to an attack.Tags: Incident Response Management'"
1070,17.4,"'Title: 17.4; Descr: Establish and maintain an incident response process that addresses roles and responsibilities, compliance requirements, and a communication plan. Review annually, or when significant enterprise changes occur that could impact this Safeguard.; Context: Incident Response Management - Establish a program to develop and maintain an incident response capability (e.g., policies, plans, procedures, defined roles, training, and communications) to prepare, detect, and quickly respond to an attack.Tags: Incident Response Management'"
1071,17.5,"'Title: 17.5; Descr: Assign key roles and responsibilities for incident response, including staff from legal, IT, information security, facilities, public relations, human resources, incident responders, and analysts, as applicable. Review annually, or when significant enterprise changes occur that could impact this Safeguard.; Context: Incident Response Management - Establish a program to develop and maintain an incident response capability (e.g., policies, plans, procedures, defined roles, training, and communications) to prepare, detect, and quickly respond to an attack.Tags: Incident Response Management'"
1072,17.6,"'Title: 17.6; Descr: Determine which primary and secondary mechanisms will be used to communicate and report during a security incident. Mechanisms can include phone calls, emails, or letters. Keep in mind that certain mechanisms, such as emails, can be affected during a security incident. Review annually, or when significant enterprise changes occur that could impact this Safeguard.; Context: Incident Response Management - Establish a program to develop and maintain an incident response capability (e.g., policies, plans, procedures, defined roles, training, and communications) to prepare, detect, and quickly respond to an attack.Tags: Incident Response Management'"
1073,17.7,"'Title: 17.7; Descr: Plan and conduct routine incident response exercises and scenarios for key personnel involved in the incident response process to prepare for responding to real-world incidents. Exercises need to test communication channels, decision making, and workflows. Conduct testing on an annual basis, at a minimum.; Context: Incident Response Management - Establish a program to develop and maintain an incident response capability (e.g., policies, plans, procedures, defined roles, training, and communications) to prepare, detect, and quickly respond to an attack.Tags: Incident Response Management'"
1074,17.8,"'Title: 17.8; Descr: Conduct post-incident reviews. Post-incident reviews help prevent incident recurrence through identifying lessons learned and follow-up action.; Context: Incident Response Management - Establish a program to develop and maintain an incident response capability (e.g., policies, plans, procedures, defined roles, training, and communications) to prepare, detect, and quickly respond to an attack.Tags: Incident Response Management'"
